eficiencia,tiempo,valor_total,score_instancia
1.0,0.016156911849975586,0,1.0
1.0,0.0,0,1.0
1.0,0.015844345092773438,0,1.0
1.0,0.002671480178833008,0,1.0
1.0,0.0,0,1.0
1.0,0.013103961944580078,0,1.0
1.0,0.0,0,1.0
1.0,0.0,0,1.0
1.0,0.015871286392211914,0,1.0
1.0,0.0,0,1.0
1.0,0.0,0,1.0
1.0,0.01577591896057129,0,1.0
1.0,0.0,0,1.0
1.0,0.015881061553955078,0,1.0
1.0,0.0,0,1.0
1.0,0.027822017669677734,0,1.0
1.0,0.009493589401245117,0,1.0
1.0,0.0020122528076171875,0,1.0
1.0,0.010343313217163086,0,1.0
1.0,0.0020093917846679688,0,1.0
1.0,0.014998912811279297,0,1.0
1.0,0.008017301559448242,0,1.0
1.0,0.010614395141601562,0,1.0
1.0,0.007043123245239258,0,1.0
1.0,0.01570606231689453,0,1.0
1.0,0.009740829467773438,0,1.0
1.0,0.006287574768066406,0,1.0
1.0,0.015998125076293945,0,1.0
1.0,0.0,0,1.0
1.0,0.030268192291259766,0,1.0
1.0,0.0017459392547607422,0,1.0
1.0,0.01593923568725586,0,1.0
1.0,0.0,0,1.0
1.0,0.015755891799926758,0,1.0
1.0,0.01579141616821289,0,1.0
1.0,0.0,0,1.0
1.0,0.01585102081298828,0,1.0
1.0,0.002106189727783203,0,1.0
1.0,0.0,0,1.0
1.0,0.014115333557128906,0,1.0
1.0,0.0,0,1.0
1.0,0.016419410705566406,0,1.0
1.0,0.003971099853515625,0,1.0
1.0,0.006236076354980469,0,1.0
1.0,0.0,0,1.0
1.0,0.01504826545715332,0,1.0
1.0,0.0,0,1.0
1.0,0.015881061553955078,0,1.0
1.0,0.0,0,1.0
1.0,0.0,0,1.0
1.0,0.018385648727416992,0,1.0
1.0,0.0,0,1.0
1.0,0.013610363006591797,0,1.0
1.0,0.0,0,1.0
1.0,0.0,0,1.0
1.0,0.020119667053222656,0,1.0
1.0,0.0,0,1.0
1.0,0.019865036010742188,0,1.0
1.0,0.010552406311035156,0,1.0
1.0,0.0,0,1.0
1.0,0.013613462448120117,0,1.0
1.0,0.016222476959228516,0,1.0
1.0,0.01001882553100586,0,1.0
1.0,0.00986170768737793,0,1.0
1.0,0.010021686553955078,0,1.0
1.0,0.016147136688232422,0,1.0
1.0,0.011777162551879883,0,1.0
1.0,0.004003763198852539,0,1.0
1.0,0.0,0,1.0
1.0,0.015897750854492188,0,1.0
1.0,0.0,0,1.0
1.0,0.0,0,1.0
1.0,0.036278724670410156,0,1.0
1.0,0.0,0,1.0
1.0,0.011555194854736328,0,1.0
1.0,0.0,0,1.0
1.0,0.0,0,1.0
1.0,0.019882678985595703,0,1.0
1.0,0.008010149002075195,0,1.0
1.0,0.0037457942962646484,0,1.0
1.0,0.0,0,1.0
1.0,0.0,0,1.0
1.0,0.016033172607421875,0,1.0
1.0,0.0,0,1.0
1.0,0.0180511474609375,0,1.0
1.0,0.003579378128051758,0,1.0
1.0,0.0,0,1.0
1.0,0.019320011138916016,0,1.0
1.0,0.008036136627197266,0,1.0
1.0,0.0023882389068603516,0,1.0
1.0,0.0,0,1.0
1.0,0.019306182861328125,0,1.0
1.0,0.010031461715698242,0,1.0
1.0,0.0037529468536376953,0,1.0
1.0,0.0,0,1.0
1.0,0.015889883041381836,0,1.0
1.0,0.005747795104980469,0,1.0
1.0,0.005219936370849609,0,1.0
1.0,0.0027420520782470703,0,1.0
1.0,0.0,0,1.0
