iteracion,score_final,estado,archivo,timestamp
89,1.0,OK,heuristica_iter89.py,2025-11-03 05:42:26
90,1.3976683787923816,OK,heuristica_iter90.py,2025-11-03 05:43:31
91,1.3976683787923816,OK,heuristica_iter91.py,2025-11-03 05:45:08
92,1.3976683787923816,OK,heuristica_iter92.py,2025-11-03 05:47:01
93,1.3976683787923816,OK,heuristica_iter93.py,2025-11-03 05:48:06
94,1.3976683787923816,OK,heuristica_iter94.py,2025-11-03 05:49:37
95,1.3976683787923816,OK,heuristica_iter95.py,2025-11-03 05:51:13
96,1.3764909147851945,OK,heuristica_iter96.py,2025-11-03 05:53:18
97,1.3976683787923816,OK,heuristica_iter97.py,2025-11-03 05:54:08
98,1.3976683787923816,OK,heuristica_iter98.py,2025-11-03 05:55:40
99,1.3976683787923816,OK,heuristica_iter99.py,2025-11-03 05:57:08
100,1.3976683787923816,OK,heuristica_iter100.py,2025-11-03 05:58:13
101,1.3976683787923816,OK,heuristica_iter101.py,2025-11-03 05:59:39
102,1.3976683787923816,OK,heuristica_iter102.py,2025-11-03 06:00:38
103,1.3976683787923816,OK,heuristica_iter103.py,2025-11-03 06:01:53
104,1.3976683787923816,OK,heuristica_iter104.py,2025-11-03 06:03:18
105,1.3976683787923816,OK,heuristica_iter105.py,2025-11-03 06:05:27
106,1.3976683787923816,OK,heuristica_iter106.py,2025-11-03 06:06:50
107,1.3976683787923816,OK,heuristica_iter107.py,2025-11-03 06:08:51
108,1.3976683787923816,OK,heuristica_iter108.py,2025-11-03 06:10:04
109,1.3976683787923816,OK,heuristica_iter109.py,2025-11-03 06:11:05
110,1.3976683787923816,OK,heuristica_iter110.py,2025-11-03 06:12:20
111,1.3976683787923816,OK,heuristica_iter111.py,2025-11-03 06:13:38
112,1.3976683787923816,OK,heuristica_iter112.py,2025-11-03 06:14:25
113,1.3976683787923816,OK,heuristica_iter113.py,2025-11-03 06:15:46
114,1.3976683787923816,OK,heuristica_iter114.py,2025-11-03 06:17:18
115,1.3976683787923816,OK,heuristica_iter115.py,2025-11-03 06:18:17
116,1.3976683787923816,OK,heuristica_iter116.py,2025-11-03 06:19:36
117,1.3976683787923816,OK,heuristica_iter117.py,2025-11-03 06:21:00
118,1.3976683787923816,OK,heuristica_iter118.py,2025-11-03 06:21:53
119,1.3976683787923816,OK,heuristica_iter119.py,2025-11-03 06:23:53
120,1.3976683787923816,OK,heuristica_iter120.py,2025-11-03 06:25:34
121,1.3976683787923816,OK,heuristica_iter121.py,2025-11-03 06:26:56
122,1.3976683787923816,OK,heuristica_iter122.py,2025-11-03 06:28:03
123,1.3976683787923816,OK,heuristica_iter123.py,2025-11-03 06:29:36
124,1.3976683787923816,OK,heuristica_iter124.py,2025-11-03 06:31:01
125,1.3976683787923816,OK,heuristica_iter125.py,2025-11-03 06:31:56
126,1.3976683787923816,OK,heuristica_iter126.py,2025-11-03 06:33:01
127,1.3976683787923816,OK,heuristica_iter127.py,2025-11-03 06:34:28
128,1.3976683787923816,OK,heuristica_iter128.py,2025-11-03 06:35:25
129,1.3976683787923816,OK,heuristica_iter129.py,2025-11-03 06:36:15
130,1.3976683787923816,OK,heuristica_iter130.py,2025-11-03 06:37:17
131,1.3976683787923816,OK,heuristica_iter131.py,2025-11-03 06:38:39
132,1.3976683787923816,OK,heuristica_iter132.py,2025-11-03 06:39:52
133,1.3923327062777617,OK,heuristica_iter133.py,2025-11-03 06:41:40
134,1.3976683787923816,OK,heuristica_iter134.py,2025-11-03 06:43:28
135,1.3976683787923816,OK,heuristica_iter135.py,2025-11-03 06:44:58
136,0.0,ErrorSintaxis,,
137,1.3976683787923816,OK,heuristica_iter137.py,2025-11-03 06:48:38
138,1.3976683787923816,OK,heuristica_iter138.py,2025-11-03 06:49:55
139,1.3976683787923816,OK,heuristica_iter139.py,2025-11-03 06:51:14
140,1.3976683787923816,OK,heuristica_iter140.py,2025-11-03 06:52:12
141,1.3976683787923816,OK,heuristica_iter141.py,2025-11-03 06:53:51
142,1.3976683787923816,OK,heuristica_iter142.py,2025-11-03 06:54:42
143,1.3976683787923816,OK,heuristica_iter143.py,2025-11-03 06:55:59
144,1.3976683787923816,OK,heuristica_iter144.py,2025-11-03 06:57:10
